Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Dubrovnik,Palermo,656.0km,33.05,9.94%,65.99ms,66.31ms,0.28ms,2022-01-07 04:33:33
Dubrovnik,Bucharest,616.0km,17.92,17.60%,34.04ms,68.48ms,6.17ms,2022-01-07 04:06:00
Dubrovnik,Bratislava,787.0km,30.36,13.12%,60.59ms,60.88ms,0.09ms,2022-01-07 05:04:35
Dubrovnik,Budapest,689.0km,13.84,25.52%,27.13ms,28.31ms,0.39ms,2022-01-07 04:06:13
Dubrovnik,Zurich,1119.0km,27.52,20.35%,54.78ms,59.18ms,0.80ms,2022-01-07 04:49:32
Dubrovnik,London,1891.0km,26.375,36.37%,52.03ms,63.20ms,2.09ms,2022-01-07 04:25:52
Dubrovnik,Amsterdam,1670.0km,23.735,35.53%,47.33ms,47.78ms,0.25ms,2022-01-07 05:00:23
Dubrovnik,Frankfurt,1302.0km,19.75,33.38%,39.42ms,39.64ms,0.15ms,2022-01-07 04:14:56
Dubrovnik,Paris,1602.0km,24.15,33.38%,47.92ms,51.38ms,0.66ms,2022-01-07 04:33:57
Dubrovnik,Vienna,812.0km,24.905,16.57%,49.69ms,50.24ms,0.20ms,2022-01-07 04:47:30
Dubrovnik,Nuremberg,1130.0km,21.745,26.28%,43.41ms,43.59ms,0.19ms,2022-01-07 04:32:19
Dubrovnik,New-York,7412.0km,59.98,62.29%,119.83ms,120.93ms,0.38ms,2022-01-07 04:31:44
Dubrovnik,Los-Angeles,10604.0km,93.47,57.01%,186.70ms,187.19ms,0.52ms,2022-01-07 04:26:04
Dubrovnik,Orlando,8809.0km,74.79,59.12%,149.50ms,149.77ms,0.43ms,2022-01-07 04:32:45
Dubrovnik,Piscataway,7480.0km,63.55,58.90%,127.03ms,127.25ms,0.32ms,2022-01-07 04:34:57
Dubrovnik,StLouis,8652.0km,70.545,61.36%,140.67ms,144.94ms,0.90ms,2022-01-07 04:42:50
Dubrovnik,Valencia,1718.0km,32.54,26.43%,64.92ms,65.48ms,0.24ms,2022-01-07 04:46:29
Dubrovnik,Westpoort,1672.0km,23.635,35.57%,47.11ms,47.61ms,0.17ms,2022-01-07 04:48:44
Dubrovnik,Zagreb,587.0km,19.845,15.05%,39.62ms,39.77ms,0.26ms,2022-01-07 04:49:08
Dubrovnik,Chicago,8250.0km,71.16,58.10%,142.23ms,142.42ms,0.46ms,2022-01-07 04:09:14
Dubrovnik,Barcelona,1470.0km,33.66,21.94%,67.05ms,67.53ms,0.28ms,2022-01-07 05:02:20
Durres,Dubrovnik,km,15.552
Durres,Russe,691.3km,24.2965,17.60%,34.04ms,68.48ms,6.17ms,2022-01-07 04:06:00
Durres,Pleven,491.0km,21.404899999999998,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Durres,Stara-Zagora,560.0km,20.75,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Durres,Novorossiysk,2930.0km,53.445,21.61%,96.09ms,96.61ms,0.26ms,2022-01-07 04:44:41
Durres,Skopje,276.0km,36.445,3.51%,53.91ms,54.13ms,0.22ms,2022-01-07 04:35:45
Durres,Otranto,1061.0km,39.095,9.92%,52.51ms,53.09ms,0.28ms,2022-01-07 04:15:19
Durres,Bitola,km,8.187000000000001
Durres,Bar,km,10.187000000000001
Durres,Edirne,1006.0km,27.085,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Durres,Kastanies,643.0km,20.165,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Durres,OPTEGLOBE-TBN,512.0km,28.794999999999998,12.22%,41.37ms,41.65ms,0.19ms,2022-01-07 05:00:44
Durres,Svilengrad,1044.0km,29.275,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Durres,Genova,1121.0km,27.060000000000002,22.11%,44.51ms,44.79ms,0.26ms,2022-01-07 04:29:05
Durres,Marseille,1621.0km,44.375,20.11%,65.40ms,65.90ms,0.32ms,2022-01-07 04:26:39
Durres,Bari,863.0km,36.105000000000004,9.92%,52.51ms,53.09ms,0.28ms,2022-01-07 04:15:19
Durres,Bologna,871.0km,28.810000000000002,13.09%,53.76ms,54.52ms,0.29ms,2022-01-07 05:00:26
Durres,Cornwall-Stations,2134.0km,35.375,35.52%,54.52ms,54.66ms,0.07ms,2022-01-07 04:15:57
Durres,Valery,1797.0km,32.125,33.38%,47.92ms,51.38ms,0.66ms,2022-01-07 04:33:57
